estacion_servicio,regular,premium,diesel
10271,,,21.39
10271,,21.97,
10627,19.89,21.99,22.99
10399,,22.59,
10399,,,22.29
10399,21.29,,
10361,,,20.49
10361,19.89,,
10361,,21.99,
10438,16.29,17.29,
10509,20.09,,
10509,,22.69,
10582,20.99,22.49,22.54
10731,21.23,22.73,22.63
2896,20.49,,
2896,,,21.09
2896,,22.99,
10481,,,21.75
10481,20.55,22.5,
10321,20.28,22.3,
10439,,,21.75
10439,20.55,22.5,
10281,21.48,22.58,22.38
10729,21.48,22.58,22.38
10781,21.48,22.58,22.38
10424,20.59,,
10424,,23.19,
10378,,23.18,
10378,20.68,,
10455,,,21.75
10455,20.55,22.5,
10320,21.11,23.26,22.83
2776,19.89,,
2776,,,20.99
2776,,22.99,
10332,22.25,,
10332,,,23.85
10262,21.55,23.7,22.94
10502,19.4,,
10502,,21.75,19.99
10279,,,22.89
10279,21.69,,
10753,20.85,,
10753,,,22.7
10753,,25.15,
10395,,25.15,
10395,20.85,,
10395,,,22.7
10506,21.99,23.99,21.94
10460,,,20.99
10460,19.4,21.69,
10764,,,21.8
10764,,,
10446,20.59,22.09,
2910,18.99,,21.21
10624,,,22.3
10624,21.1,22.1,
11898,19.59,,
11898,,21.99,
11897,20.74,22.9,
11896,20.99,22.99,
11896,,,21.99
3104,21.59,22.89,
2985,20.79,22.09,22.49
2784,20.69,21.69,21.89
2952,21.44,22.74,
2843,20.57,,
2843,,22.92,
10056,,,22.15
10056,,22.95,
10056,20.95,,
10015,19.49,,
10015,,22.19,
10015,,,19.99
10237,18.99,,
10237,,22.19,
10237,,,19.99
10149,21.3,22.86,
10149,,,20.13
10243,,21.2,
10243,,,19.92
10017,,,22.27
10017,21.3,22.61,
3132,20.18,22.58,21.34
9965,19.65,,
9965,,,21.6
10097,17.59,,20.98
10025,21.29,22.79,22.59
10137,20.49,22.99,
10071,20.81,21.82,21.65
10040,20.9,23.45,22.5
10206,,,21.53
10206,18.99,,
10206,,22.35,
10223,20.85,,22.09
9955,20.86,21.98,21.83
10099,19.63,21.73,
2900,20.19,22.69,
10148,20.44,21.89,21.64
10124,19.67,,
10124,,21.92,21.23
10002,15.87,17.6,
10002,,,16.79
10036,20.3,21.95,21.65
10138,20.3,21.95,21.65
10134,20.58,22.25,21.99
10044,20.99,22.79,21.99
10159,18.99,20.99,
9946,18.85,,
10168,20.19,21.79,21.99
2954,20.99,,
2954,,,22.49
2954,,23.19,
10080,20.99,22.99,22.99
10188,19.32,21.59,21.19
10248,20.19,21.79,21.99
10260,20.19,21.79,21.99
10126,21.99,23.99,21.94
9996,,22.79,
9996,20.39,,21.39
10135,21.99,23.99,21.94
10085,21.99,23.99,21.94
10079,19.79,,
10079,,21.93,
10079,,,21.19
9974,21.99,23.99,21.94
2945,20.89,,
2945,,22.74,
9981,21.99,23.99,21.94
10032,,22.99,
10032,20.99,,
9977,21.99,23.99,
9960,19.23,21.63,20.35
10113,20.25,,21.69
10113,,22.1,
9943,21.99,23.99,
10227,21.99,23.99,
9929,19.35,,
9929,,21.8,20.72
10202,19.35,21.99,
10016,19.97,,
10016,,23.29,
2855,20.49,22.1,21.2
10251,,22.99,
10251,20.29,,
10235,,23.99,
10235,20.24,,
9995,21.99,23.99,
10226,,23.29,
10226,,,21.89
10226,20.99,,
10211,21.99,23.99,
10057,21.99,23.99,
10102,21.94,23.99,
10155,21.99,23.99,
10029,,23.69,21.94
10029,20.49,,
10191,,23.38,
10191,20.99,,
2775,,,
2775,,22.5,
10007,21.99,23.99,
10152,20.55,,
10152,,17.8,
10152,,,18.3
9964,20.2,21.69,21.94
10014,,22.29,
10014,20.09,,21.35
10034,19.59,21.89,
10200,19.79,22.49,19.89
9983,20.96,,22.31
9983,,22.34,
10144,18.99,,
10144,,21.68,
10179,19.49,,
10179,,21.99,20.99
10258,18.98,21.65,21.19
2960,19.89,21.65,21.69
10111,18.97,,
10111,,,20.89
10111,,21.68,
10019,20.71,22.57,22.13
10253,19.54,,
10253,,21.65,21.19
10116,21.72,23.44,23.14
9994,16.68,,
9994,,19.28,21.69
10186,18.99,21.68,20.77
9925,21.45,,21.95
9925,,22.95,
10066,20.09,,
10255,19.14,,
10255,,21.39,
10011,18.99,21.68,
2949,,21.3,
10039,20.6,,21.7
10095,19.89,21.99,21.77
10074,19.49,,
10074,,21.99,
10074,,,20.99
10122,20.1,22.69,21.58
10003,14.99,,
10214,19.49,,
10214,,21.99,
10214,,,20.99
10252,,,22.19
10252,20.39,,
10252,,22.5,
10082,18.98,,20.98
9953,19.55,21.5,21.3
9934,20.5,,
9934,,,
3119,21.74,22.99,23.19
9967,22.46,,22.89
9967,,23.74,
9959,,,21.49
9959,19.65,,
9959,,21.79,
10128,20.6,,
10037,19.89,22.49,21.59
10042,19.49,,
10042,,21.68,21.33
10216,19.5,21.15,20.6
10053,19.29,,20.54
10053,,21.65,
10112,19.29,,20.54
10112,,21.65,
10154,20.98,23.34,22.98
10123,20.25,23.65,
10123,,,21.99
2772,20.89,,
