id_estacion,nombre,latitud,longitud
2289,estacion del roble sa de cv,32.43441,-116.9525
2290,petromax sa de cv,25.71714,-100.2357
2291,gasoprim sa de cv,19.2684,-103.7026
2292,grupo octano sa de cv,21.52014,-104.9266
2293,multiservicios la pilarica sa de cv ,25.76829,-108.9937
2294,gasolineria lomalinda 0194 sa de cv,19.42066,-99.21804
2295,grupo octano sa de cv,20.76066,-105.3746
2296,petromax sa de cv,25.47087,-100.9607
2297,energeticos cerro de ortega sa de cv,18.76095,-103.729
2298,desarrollo integral ocozocoautla sa de cv ,15.70444,-91.99803
2299,petromax sa de cv,25.54146,-103.4483
2300,petroliferos la territorial s de rl de cv,32.56567,-116.585
2301,petromax sa de cv,25.76571,-100.2573
2302,petromax sa de cv,20.54878,-103.4711
2303,petromax sa de cv,26.07043,-98.33169
2304,servel triangulo del refugiosderldecv,32.40604,-116.9668
2305,grupo octano sa de cv,19.70107,-101.1545
2306,grupo gocalvi sa de cv,31.64773,-106.4634
2307,servicio cibola sa de cv,32.50862,-116.9861
2308,petromax sa de cv,31.79353,-116.5928
2309,servicio efigas s de rl de cv,32.49725,-117.0203
2310,operadora santa elena sa de cv,19.2257,-99.2113
2311,servicios del valle del fuerte sa de cv,25.80633,-108.9826
2312,gasolinera el encino sa de cv,28.44654,-100.7522
2313,petromax sa de cv,25.45598,-100.9761
2314,petromax sa de cv,25.68477,-100.4806
2315,grupo empresarial cachanilla sa de cv,32.58577,-115.4363
2316,servicio la guitarra sa de cv,19.44123,-99.24943
2317,est de servicio sagitario sderlde cv,32.46825,-116.9871
2318,petromax sa de cv,25.73667,-100.2444
2319,seven service sa de cv,19.4423,-99.16319
2320,servicios gasolineros de mexico sa de cv,25.42712,-100.9758
2321,servicio calatrava sa de cv,19.66663,-99.13498
2322,grupo octano sa de cv,21.50385,-104.8867
2323,grupo octano sa de cv,22.00695,-105.2269
2324,petromax sa de cv,32.49222,-116.9343
2325,petromax sa de cv,19.54421,-99.20648
2326,estacion rael s de rl de cv,32.63718,-115.4716
2327,gasolineria rubi sa de cv,18.83838,-99.23139
2328,bp estaciones y servicios energeticos sa de cv,32.52137,-116.9867
2329,petromax sa de cv,25.76576,-100.3987
2330,servicios del valle del fuerte sa de cv,25.77709,-108.9852
2331,grupo octano sa de cv,20.70532,-103.4485
2332,petromax sa de cv,25.53799,-100.219
2333,petromax sa de cv,26.05507,-98.32028
2334,estacion de servicio corceles sa de cv,19.36607,-99.23235
2335,servicio gasolinero el primo sa de cv,24.05557,-104.6564
2336,servicio libramiento jlp sa de cv,25.44036,-100.8894
2337,petromax sa de cv,25.424,-100.9894
2338,petromax sa de cv,25.69789,-100.4674
2339,comercializadora de combustibles de chiapas sa de cv,16.80658,-92.90816
2340,petromax sa de cv,26.05218,-98.29163
2341,petromax sa de cv,26.05263,-98.37744
2342,servicio geyser sa de cv,19.36047,-99.03545
2343,petromax sa de cv,25.75716,-100.2869
2344,petromax sa de cv,19.52987,-99.17842
2345,petromax sa de cv,25.59509,-103.4854
2346,petromax sa de cv,25.53754,-100.9463
2347,petromax sa de cv,26.05935,-98.35895
2348,petromax sa de cv,28.70224,-106.1422
2349,petromax sa de cv,25.68494,-100.2729
2350,ary super servicios iv sa de cv,25.51376,-103.3939
2351,petromax sa de cv,20.45484,-103.2512
2352,petromax sa de cv,25.72574,-100.3175
2353,gasolineria colegio militar sa de cv,19.26855,-99.1646
2354,grupo octano sa de cv,21.47978,-104.8922
2355,suministro y limpieza de autobuses sa de cv,19.48179,-99.14
2356,grupo octano sa de cv,20.6932,-103.4529
2357,combustibles mb de la costa sa de cv,15.94528,-95.79509
2358,petromax sa de cv,26.04127,-98.40625
2359,servicios del valle del fuerte sa de cv,25.79409,-108.9943
2360,grupo octano sa de cv,20.74955,-105.3207
2361,estacion hipodromo sa de cv,32.51191,-116.9981
2362,diaz gas sa de cv,31.74264,-106.4809
2363,estacion de servicio puerta grande  s de rl de cv,32.48495,-116.9417
2364,grupo octano sa de cv,21.52525,-104.904
2365,bp estaciones y servicios energeticos sa de cv,32.5438,-116.931
2366,grupo gocalvi sa de cv,31.6654,-106.4088
2367,petromax sa de cv,25.61303,-100.8398
2368,petromax sa de cv,26.04685,-98.22788
2369,petromax sa de cv,26.08634,-98.27101
2370,petromax sa de cv,25.69438,-100.1764
2371,grupo octano sa de cv,20.74488,-105.3031
2372,diaz gas sa de cv,31.64269,-106.407
2373,estacion ambar s de rl de cv,32.53723,-116.9228
2374,petromax sa de cv,25.45015,-100.998
2375,comercial petrolifera sa de cv,20.73753,-105.2707
2376,petromax sa de cv,26.05171,-98.37684
2377,multiservicios la pilarica sa de cv ,25.79476,-108.9733
2378,estacion ambar s de rl de cv,32.49525,-117.0529
2379,becktrop operadora sa de cv,20.68804,-103.4197
2380,servicio cibola sa de cv,32.39319,-117.0559
2381,servicio efigas s de rl de cv,32.52652,-116.949
2382,servicio cibola sa de cv,32.50297,-116.9643
2383,salvador galindo ramirez,22.63596,-101.7064
2384,estacion rael s de rl de cv,32.49149,-117.0305
2385,petromax sa de cv,25.70392,-100.3196
2386,grupo octano sa de cv,20.62714,-105.2228
2387,petromax sa de cv,26.04279,-98.35052
2388,petromax sa de cv,25.86598,-97.47758
2389,ary super servicios i sa de cv,25.58082,-103.4926
2390,gpdc estaciones de servicio s a de c v,19.4153,-99.17616
2391,servicio cibola sa de cv,29.32497,-100.9801
2392,petromax sa de cv,26.06018,-98.3122
2393,hidrocarburos express ocozocoautla sa de cv ,15.66675,-92.13802
2394,grupo gocalvi sa de cv,31.77539,-106.5588
2395,orba gas sa de cv,28.7,-100.55
2396,grupo empresarial cachanilla sa de cv,32.62274,-115.5103
2397,estacion de servicios costeña sa de cv,19.39925,-98.87991
2398,multiservicios la pilarica sa de cv ,25.80817,-109.0235
2399,grupo octano sa de cv,19.90299,-100.7929
2400,petromax sa de cv,25.62543,-100.1731
2401,petromax sa de cv,25.78408,-100.2486
2402,estacion hipodromo sa de cv,32.50465,-116.9517
2403,el eden gutierrez &amp aramoni servicios sa de cv ,16.76678,-93.30972
2404,villafloresta de tijuana sa de cv,32.47997,-116.9372
2405,petromax sa de cv,26.0128,-98.19566
2406,petromax sa de cv,25.86027,-100.2367
2407,servicios energeticos plaza industrial sa de cv ,25.46486,-100.9964
2408,inmobiliaria parque civac sa de cv,18.91005,-99.16859
2409,servicio agua brava sa de cv,19.30831,-99.13345
2410,combuexpress sa de cv,20.37663,-102.9302
2411,petromax sa de cv,19.38079,-99.18764
2412,general de combustibles colima sa de cv,19.12105,-104.3395
2413,operadora galfox sa de cv,28.69786,-100.5383
2414,petromax sa de cv,26.07711,-98.32571
2415,abastecedora de combustibles del sureste sa de cv ,14.67243,-92.15979
2416,petromax sa de cv,25.75324,-100.2974
2417,petromax sa de cv,25.68003,-100.2656
2418,petromax sa de cv,26.07018,-98.32381
2419,combustibles y lubricantes atenas sa de cv,28.72977,-106.0961
2420,estacion la victoria sa de cv,32.53125,-117.0118
2421,combuexpress sa de cv,19.09598,-104.3036
2422,grupo 65 sa de cv,19.27286,-103.7395
2423,estacion de servicio leon sderl de cv,20.46216,-100.0968
2424,industrias cebra sa de cv ,20.63894,-103.3643
2425,petromax sa de cv,25.7197,-100.359
2426,servicios gasolineros de mexico sa de cv,25.42703,-100.9668
2427,diaz gas sa de cv,31.68314,-106.4074
2428,las mejores estaciones sa de cv,20.90505,-100.7242
2429,petromax sa de cv,25.67901,-100.4386
2430,petromax sa de cv,25.56364,-103.4788
2431,petromax sa de cv,20.61732,-103.2545
2432,gasolineria veneto sa de cv,19.65666,-99.12277
2433,petromax sa de cv,25.49093,-100.9678
2434,petromax sa de cv,25.41419,-101.0159
2435,petromax sa de cv,20.61091,-103.4194
2436,servicio muzquiz sa,27.89273,-101.5306
2437,digepe sa de cv (07356),21.01261,-100.6528
2438,petromax sa de cv,19.63085,-99.16546
2439,petromax sa de cv,25.75881,-100.1725
2440,servicio gasolinero el primo sa de cv,24.43446,-104.6984
2441,fuente de carga frigga sa de cv,19.40762,-99.27599
2442,petromax sa de cv,19.56659,-99.2421
2443,promotora de servicios ocozocoautla sa de cv      ,16.76811,-93.29664
2444,bp estaciones y servicios energeticos sa de cv,19.31672,-99.12744
2445,grupo octano sa de cv,19.96015,-101.1363
2446,servicios del valle del fuerte sa de cv,25.77642,-109.0221
2447,petromax sa de cv,25.76551,-100.2887
2448,estacion rael s de rl de cv,32.59245,-115.5549
2449,servicio granada sa de cv,19.64,-99.07566
2450,petromax sa de cv,28.66151,-106.0861
2451,petromax sa de cv,25.45446,-101.0064
2452,corporativo arpe sa de cv,28.71699,-106.1502
2453,petromax sa de cv,25.66981,-100.3696
2454,servicio romalsa sa de cv,21.84296,-102.7334
2455,estacion grugas s de rl de cv,32.40914,-117.0479
2456,petromax sa de cv,25.69306,-100.5097
2457,servicio rosa sa de cv,31.84799,-116.5914
2458,hidrocarburos epazoyucan sa de cv,20.01397,-98.63866
2459,petromax sa de cv,25.66751,-100.3207
2460,petromax sa de cv,25.26543,-101.0904
2461,petromax sa de cv,25.98758,-98.27431
2462,petromax sa de cv,25.85541,-100.24
2463,servicios del valle del fuerte sa de cv,25.77955,-109.0072
2464,petromax sa de cv,32.36537,-117.0592
2465,petromax sa de cv,25.60693,-100.2683
2466,multiservicios la pilarica sa de cv ,25.79961,-108.9428
2467,ramcal sa de cv,19.0389,-104.2583
2468,petromax sa de cv,20.62028,-103.2741
2469,petromax sa de cv,25.49524,-100.1889
2470,servicio martin sa de cv,21.88947,-102.2888
2471,multiservicios la pilarica sa de cv ,25.76679,-108.9927
2472,petromax sa de cv,25.66529,-100.4599
2473,petromax sa de cv,26.09215,-98.29046
2474,dalcon sa de cv,21.85173,-102.2698
2475,grupo octano sa de cv,20.71072,-105.276
2476,servicio villas del pilar sa de cv,21.84497,-102.3077
2477,gasolineria mallorca sa de cv ,19.25752,-99.02151
2478,latanst sa de cv,20.2175,-98.9109
2479,tulti estacion sa de cv,19.64001,-99.13567
2480,petromax sa de cv,25.73661,-100.2871
2481,petromax sa de cv,26.07309,-98.29394
2482,servicio santa fe sa de cv,24.03353,-104.6377
2483,gasolineria cupula sa de cv,19.57208,-99.05207
2484,autoservicio la otra sa de cv,29.55163,-104.4193
2485,petromax sa de cv,25.75267,-100.1985
2486,petromax sa de cv,25.70874,-100.2766
2487,estacion de servicio rancho verde sa de cv,19.56669,-99.04448
2488,servicio los olivos sa de cv(e4394),31.86382,-116.5828
2489,petromax sa de cv,25.71057,-100.2634
2490,petromax sa de cv,25.45791,-100.9836
2491,servicios energeticos plaza industrial sa de cv ,25.27493,-100.5909
2492,estacion rael s de rl de cv,32.51298,-116.888
2493,petromax sa de cv,26.04473,-98.31477
2494,petromax sa de cv,25.65684,-100.1361
2495,servicios del valle del fuerte sa de cv,25.79107,-108.9767
2496,gasolinera metropolitana sa de cv,25.41525,-100.975
2497,consorcio operativo ocozocoautla sa de cv ,16.23048,-93.87355
2498,servicios del valle del fuerte sa de cv,25.77663,-108.9864
2499,mini servicio jet sa de cv,19.33291,-99.1517
2500,petromax sa de cv,25.76412,-100.243
2501,grupo octano sa de cv,21.51005,-104.8809
2502,servel triangulo del refugiosderldecv,32.52269,-117.0456
2503,ary super servicios iii sa de cv,25.54233,-103.4356
2504,servicio martin sa de cv,21.86697,-102.2441
2505,las mejores estaciones sa de cv,20.2467,-99.0999
2506,petromax sa de cv,26.06401,-98.29431
2507,paradero sta maria  sa de cv,26.75702,-101.4097
2508,servicio express de combustibles sa de cv,16.34696,-93.40465
2509,petromax sa de cv,25.84843,-100.245
2510,petromax sa de cv,25.7325,-100.1526
2511,distribuidora de cobustibles las cañadas sa de cv ,17.11021,-92.27808
2512,gasmax sa de cv,32.50606,-117.0615
2513,petromax sa de cv,31.88323,-116.6105
2514,gasolinera teran sa de cv,16.7565,-93.16075
2515,gasolineria monteblanco sa de cv,19.6428,-99.11065
2516,servicio san bernardo sa de cv,28.3347,-100.3887
2517,corporativo arpe sa de cv,28.60305,-106.1215
2518,grupo octano sa de cv,19.72294,-101.1903
2519,estacion cucapah sa de cv,32.51395,-116.8729
2520,petromax sa de cv,25.76518,-100.397
2521,petromax sa de cv,25.67,-100.4021
2522,servicio cibola sa de cv,32.51282,-116.853
2523,bp estaciones y servicios energeticos sa de cv,19.35028,-99.3023
2524,estacion rio tijuana s de rl de cv,32.4689,-116.847
2525,servicios villalobos sa ,21.8348,-102.2898
2526,combustibles de acambaro sa ,20.01938,-100.7283
2527,petroliferos la territorial s de rl de cv,20.76211,-105.3472
2528,diaz gas sa de cv,31.62791,-106.3489
2529,grupo octano sa de cv,19.69432,-101.15
2530,petromax sa de cv,28.62766,-106.1183
2531,petromax sa de cv,19.3335,-99.07513
2532,servicio san francisco de los romo de ags sa de cv,22.07574,-102.2729
2533,toro grupo gasolinero sa de cv,22.17901,-102.296
2534,petromax sa de cv,25.72883,-100.2535
2535,grupo octano sa de cv,21.47683,-104.8682
2536,servicio drako s de rl de cv,32.49984,-116.9091
2537,servicios del valle del fuerte sa de cv,25.86532,-109.3231
2538,petromax sa de cv,25.67491,-100.4262
2539,grupo octano sa de cv,19.80758,-100.8826
2540,estacion la victoria sa de cv,32.52136,-117.024
2541,servicio zenote sa de cv,21.15723,-86.86021
2542,diaz gas sa de cv,31.75163,-106.4565
2543,petromax sa de cv,26.04308,-98.30024
2544,grupo octano sa de cv,20.73159,-103.6072
2545,petromax sa de cv,20.5867,-103.4448
2546,petromax sa de cv,25.59716,-98.15037
2547,servicios del valle del fuerte sa de cv,25.94688,-108.9258
2548,petromax sa de cv,25.63737,-100.0855
2549,operadora alianza de estaciones de servicio sadecv,19.38935,-99.27911
2550,petromax sa de cv,25.82599,-100.2875
2551,multiservicios la pilarica sa de cv ,25.77471,-108.9828
